teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,5:A:V,4:A:S,8:A:V,BYE,17:H:V,27:H:M,28:H:S,1:H:L
1,11:A:D,BYE,4:H:L,10:A:S,22:H:L,17:A:L,29:H:S,0:A:L
2,12:A:S,26:H:S,7:H:S,3:H:S,13:A:S,BYE,6:H:M,9:A:V
3,21:H:L,6:A:D,BYE,2:A:S,14:A:V,24:H:S,7:A:S,19:H:M
4,22:H:V,0:H:S,1:A:L,20:A:M,23:A:D,29:H:V,25:A:M,BYE
5,0:H:V,28:A:D,10:H:L,27:A:L,BYE,11:H:D,22:A:L,20:H:S
6,18:A:L,3:H:D,15:A:V,26:H:S,7:H:V,BYE,2:A:M,16:A:V
7,19:A:D,BYE,2:A:S,24:A:L,6:A:V,26:H:S,3:H:S,21:A:L
8,29:A:D,17:A:V,0:H:V,11:A:V,31:H:M,23:H:L,BYE,25:H:V
9,26:A:L,16:H:D,BYE,30:A:D,12:A:M,15:H:L,18:H:M,2:H:V
10,23:A:S,BYE,5:A:L,1:H:S,20:H:L,22:A:D,31:A:M,11:H:S
11,1:H:D,20:H:L,27:A:D,8:H:V,25:A:V,5:A:D,BYE,10:A:S
12,2:H:S,BYE,18:A:S,14:H:S,9:H:M,30:H:M,16:A:D,13:H:D
13,BYE,30:H:D,14:H:S,15:H:D,2:H:S,19:A:L,21:A:M,12:A:D
14,24:A:L,15:H:M,13:A:S,12:A:S,3:H:V,BYE,26:A:D,30:H:M
15,30:A:V,14:A:M,6:H:V,13:A:D,16:H:S,9:A:L,BYE,18:H:L
16,BYE,9:A:D,19:H:S,21:A:D,15:A:S,18:H:D,12:H:D,6:H:V
17,27:H:L,8:H:V,29:A:D,28:H:S,0:A:V,1:H:L,20:A:V,BYE
18,6:H:L,24:A:S,12:H:S,19:H:D,BYE,16:A:D,9:A:M,15:A:L
19,7:H:D,21:H:L,16:A:S,18:A:D,24:H:M,13:H:L,BYE,3:A:M
20,31:A:D,11:A:L,BYE,4:H:M,10:A:L,28:A:V,17:H:V,5:A:S
21,3:A:L,19:A:L,24:H:D,16:H:D,26:A:L,BYE,13:H:M,7:H:L
22,4:A:V,25:A:M,23:H:M,29:H:D,1:A:L,10:H:D,5:H:L,BYE
23,10:H:S,27:A:L,22:A:M,25:H:D,4:H:D,8:A:L,BYE,31:H:S
24,14:H:L,18:H:S,21:A:D,7:H:L,19:A:M,3:A:S,30:A:V,BYE
25,28:A:M,22:H:M,BYE,23:A:D,11:H:V,31:H:S,4:H:M,8:A:V
26,9:H:L,2:A:S,30:H:D,6:A:S,21:H:L,7:A:S,14:H:D,BYE
27,17:A:L,23:H:L,11:H:D,5:H:L,28:H:S,0:A:M,BYE,29:A:V
28,25:H:M,5:H:D,31:A:M,17:A:S,27:A:S,20:H:V,0:A:S,BYE
29,8:H:D,31:H:M,17:H:D,22:A:D,BYE,4:A:V,1:A:S,27:H:V
30,15:H:V,13:A:D,26:A:D,9:H:D,BYE,12:A:M,24:H:V,14:A:M
31,20:H:D,29:A:M,28:H:M,BYE,8:A:M,25:A:S,10:H:M,23:A:S
