teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,1:H:D,BYE,4:A:V,17:H:M,27:H:L,28:H:S,5:A:L,8:A:L
1,0:A:D,17:A:V,10:A:S,22:H:V,29:H:L,11:A:D,4:H:D,BYE
2,12:A:M,3:H:S,9:A:M,7:H:M,BYE,26:H:D,13:A:S,6:H:S
3,19:H:L,2:A:S,14:A:M,24:H:S,6:A:L,7:A:S,21:H:V,BYE
4,22:H:D,29:H:D,0:H:V,20:A:S,BYE,25:A:L,1:A:D,23:A:V
5,20:H:S,27:A:D,22:A:D,11:H:L,28:A:M,10:H:D,0:H:L,BYE
6,15:A:S,7:H:D,16:A:V,26:H:S,3:H:L,BYE,18:A:V,2:A:S
7,26:H:M,6:A:D,19:A:S,2:A:M,BYE,3:H:S,24:A:M,21:A:L
8,11:A:L,31:H:L,25:H:S,BYE,23:H:L,17:A:M,29:A:D,0:H:L
9,18:H:S,16:H:D,2:H:M,12:A:L,BYE,30:A:V,15:H:D,26:A:D
10,31:A:L,23:A:M,1:H:S,BYE,22:A:L,5:A:D,20:H:D,11:H:L
11,8:H:L,25:A:V,BYE,5:A:L,20:H:S,1:H:D,27:A:S,10:A:L
12,2:H:M,13:H:S,BYE,9:H:L,16:A:V,18:A:M,14:H:M,30:H:V
13,14:H:S,12:A:S,21:A:D,30:H:S,19:A:S,BYE,2:H:S,15:H:D
14,13:A:S,30:H:S,3:H:M,15:H:M,26:A:L,24:A:V,12:A:M,BYE
15,6:H:S,18:H:M,BYE,14:A:M,30:A:L,16:H:S,9:A:D,13:A:D
16,21:A:L,9:A:D,6:H:V,18:H:S,12:H:V,15:A:S,19:H:S,BYE
17,29:A:M,1:H:V,20:A:L,0:A:M,BYE,8:H:M,28:H:D,27:H:S
18,9:A:S,15:A:M,24:A:D,16:A:S,BYE,12:H:M,6:H:V,19:H:D
19,3:A:L,24:H:V,7:H:S,21:H:S,13:H:S,BYE,16:A:S,18:A:D
20,5:A:S,28:A:M,17:H:L,4:H:S,11:A:S,31:A:D,10:A:D,BYE
21,16:H:L,26:A:S,13:H:D,19:A:S,24:H:D,BYE,3:A:V,7:H:L
22,4:A:D,BYE,5:H:D,1:A:V,10:H:L,29:H:L,23:H:D,25:A:L
23,27:A:L,10:H:M,31:H:L,25:H:L,8:A:L,BYE,22:A:D,4:H:V
24,30:A:M,19:A:V,18:H:D,3:A:S,21:A:D,14:H:V,7:H:M,BYE
25,28:A:D,11:H:V,8:A:S,23:A:L,31:H:D,4:H:L,BYE,22:H:L
26,7:A:M,21:H:S,30:H:M,6:A:S,14:H:L,2:A:D,BYE,9:H:D
27,23:H:L,5:H:D,29:A:L,28:H:S,0:A:L,BYE,11:H:S,17:A:S
28,25:H:D,20:H:M,BYE,27:A:S,5:H:M,0:A:S,17:A:D,31:A:L
29,17:H:M,4:A:D,27:H:L,31:H:L,1:A:L,22:A:L,8:H:D,BYE
30,24:H:M,14:A:S,26:A:M,13:A:S,15:H:L,9:H:V,BYE,12:A:V
31,10:H:L,8:A:L,23:A:L,29:A:L,25:A:D,20:H:D,BYE,28:H:L
