teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,28:H:L,27:H:S,1:H:S,BYE,17:H:V,5:A:V,4:A:D,8:A:M
1,4:H:M,29:H:M,0:A:S,BYE,22:H:V,10:A:V,11:A:S,17:A:M
2,6:H:L,13:A:V,7:H:S,26:H:D,3:H:M,12:A:D,9:A:M,BYE
3,7:A:S,14:A:M,24:H:L,19:H:M,2:A:M,BYE,6:A:D,21:H:D
4,1:A:M,20:A:V,25:A:V,22:H:D,29:H:D,23:A:L,0:H:D,BYE
5,22:A:V,11:H:M,27:A:D,20:H:S,28:A:V,0:H:V,10:H:L,BYE
6,2:A:L,26:H:M,BYE,15:A:L,7:H:D,16:A:S,3:H:D,18:A:V
7,3:H:S,24:A:M,2:A:S,21:A:L,6:A:D,19:A:S,26:H:D,BYE
8,17:A:S,25:H:D,BYE,29:A:L,31:H:D,11:A:L,23:H:D,0:H:M
9,16:H:V,15:H:M,12:A:M,30:A:L,18:H:D,BYE,2:H:M,26:A:V
10,20:H:S,22:A:S,31:A:V,23:A:M,11:H:L,1:H:V,5:A:L,BYE
11,27:A:L,5:A:M,20:H:L,25:A:M,10:A:L,8:H:L,1:H:S,BYE
12,14:H:V,30:H:V,9:H:M,16:A:V,BYE,2:H:D,18:A:S,13:H:L
13,BYE,2:H:V,21:A:L,14:H:S,15:H:D,30:H:M,19:A:D,12:A:L
14,12:A:V,3:H:M,26:A:S,13:A:S,30:H:D,15:H:M,BYE,24:A:L
15,18:H:D,9:A:M,16:H:V,6:H:L,13:A:D,14:A:M,BYE,30:A:M
16,9:A:V,18:H:S,15:A:V,12:H:V,19:H:V,6:H:S,21:A:L,BYE
17,8:H:S,28:H:D,29:A:D,27:H:M,0:A:V,20:A:S,BYE,1:H:M
18,15:A:D,16:A:S,19:H:V,BYE,9:A:D,24:A:V,12:H:S,6:H:V
19,24:H:D,21:H:V,18:A:V,3:A:M,16:A:V,7:H:S,13:H:D,BYE
20,10:A:S,4:H:V,11:A:L,5:A:S,BYE,17:H:S,28:A:L,31:A:L
21,BYE,19:A:V,13:H:L,7:H:L,24:H:L,26:A:V,16:H:L,3:A:D
22,5:H:V,10:H:S,23:H:D,4:A:D,1:A:V,25:A:L,29:H:V,BYE
23,25:H:D,31:H:S,22:A:D,10:H:M,27:A:D,4:H:L,8:A:D,BYE
24,19:A:D,7:H:M,3:A:L,BYE,21:A:L,18:H:V,30:A:L,14:H:L
25,23:A:D,8:A:D,4:H:V,11:H:M,BYE,22:H:L,31:H:M,28:A:V
26,30:H:S,6:A:M,14:H:S,2:A:D,BYE,21:H:V,7:A:D,9:H:V
27,11:H:L,0:A:S,5:H:D,17:A:M,23:H:D,28:H:M,BYE,29:A:L
28,0:A:L,17:A:D,BYE,31:A:L,5:H:V,27:A:M,20:H:L,25:H:V
29,31:H:M,1:A:M,17:H:D,8:H:L,4:A:D,BYE,22:A:V,27:H:L
30,26:A:S,12:A:V,BYE,9:H:L,14:A:D,13:A:M,24:H:L,15:H:M
31,29:A:M,23:A:S,10:H:V,28:H:L,8:A:D,BYE,25:A:M,20:H:L
