teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,BYE,5:A:S,8:A:V,4:A:V,17:H:S,28:H:D,1:H:D,27:H:S
1,29:H:V,11:A:M,BYE,17:A:L,22:H:S,10:A:S,0:A:D,4:H:L
2,9:A:M,12:A:D,26:H:D,3:H:L,13:A:S,6:H:V,7:H:L,BYE
3,21:H:L,24:H:L,14:A:L,2:A:L,BYE,7:A:D,6:A:L,19:H:M
4,25:A:M,BYE,22:H:M,0:H:V,29:H:S,20:A:D,23:A:M,1:A:L
5,28:A:V,0:H:S,10:H:D,20:H:D,11:H:S,BYE,27:A:M,22:A:V
6,15:A:V,BYE,16:A:L,7:H:S,26:H:M,2:A:V,3:H:L,18:A:S
7,26:H:V,BYE,19:A:M,6:A:S,21:A:S,3:H:D,2:A:L,24:A:M
8,17:A:L,BYE,0:H:V,29:A:S,31:H:V,25:H:M,11:A:V,23:H:L
9,2:H:M,16:H:L,30:A:M,12:A:D,18:H:M,26:A:L,BYE,15:H:D
10,31:A:M,22:A:D,5:A:D,11:H:L,23:A:V,1:H:S,20:H:D,BYE
11,20:H:L,1:H:M,27:A:L,10:A:L,5:A:S,BYE,8:H:V,25:A:M
12,14:H:M,2:H:D,13:H:L,9:H:D,30:H:V,18:A:M,16:A:L,BYE
13,30:H:V,BYE,12:A:L,19:A:S,2:H:S,15:H:M,21:A:D,14:H:L
14,12:A:M,26:A:L,3:H:L,30:H:S,24:A:M,BYE,15:H:L,13:A:L
15,6:H:V,30:A:M,18:H:M,16:H:M,BYE,13:A:M,14:A:L,9:A:D
16,18:H:V,9:A:L,6:H:L,15:A:M,19:H:L,BYE,12:H:L,21:A:S
17,8:H:L,28:H:S,20:A:S,1:H:L,0:A:S,27:H:V,29:A:L,BYE
18,16:A:V,19:H:S,15:A:M,24:A:D,9:A:M,12:H:M,BYE,6:H:S
19,24:H:S,18:A:S,7:H:M,13:H:S,16:A:L,21:H:M,BYE,3:A:M
20,11:A:L,31:A:L,17:H:S,5:A:D,28:A:D,4:H:D,10:A:D,BYE
21,3:A:L,BYE,24:H:S,26:A:S,7:H:S,19:A:M,13:H:D,16:H:S
22,BYE,10:H:D,4:A:M,23:H:M,1:A:S,29:H:D,25:A:S,5:H:V
23,27:A:V,25:H:M,31:H:S,22:A:M,10:H:V,BYE,4:H:M,8:A:L
24,19:A:S,3:A:L,21:A:S,18:H:D,14:H:M,30:A:S,BYE,7:H:M
25,4:H:M,23:A:M,28:A:D,31:H:V,BYE,8:A:M,22:H:S,11:H:M
26,7:A:V,14:H:L,2:A:D,21:H:S,6:A:M,9:H:L,30:H:M,BYE
27,23:H:V,29:A:M,11:H:L,28:H:M,BYE,17:A:V,5:H:M,0:A:S
28,5:H:V,17:A:S,25:H:D,27:A:M,20:H:D,0:A:D,31:A:V,BYE
29,1:A:V,27:H:M,BYE,8:H:S,4:A:S,22:A:D,17:H:L,31:H:L
30,13:A:V,15:H:M,9:H:M,14:A:S,12:A:V,24:H:S,26:A:M,BYE
31,10:H:M,20:H:L,23:A:S,25:A:V,8:A:V,BYE,28:H:V,29:A:L
