teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,28:H:L,27:H:V,8:A:L,4:A:S,1:H:V,5:A:S,17:H:V,BYE
1,4:H:M,29:H:L,11:A:S,BYE,0:A:V,22:H:D,10:A:V,17:A:M
2,26:H:V,7:H:D,6:H:S,13:A:S,3:H:M,9:A:L,BYE,12:A:D
3,24:H:D,19:H:L,14:A:M,7:A:S,2:A:M,BYE,6:A:S,21:H:D
4,1:A:M,23:A:V,BYE,0:H:S,22:H:M,20:A:L,29:H:V,25:A:S
5,20:H:L,22:A:S,27:A:S,10:H:L,BYE,0:H:S,11:H:L,28:A:M
6,16:A:D,15:A:M,2:A:S,18:A:V,BYE,7:H:S,3:H:S,26:H:V
7,19:A:V,2:A:D,21:A:M,3:H:S,24:A:M,6:A:S,26:H:M,BYE
8,23:H:S,11:A:V,0:H:L,17:A:S,BYE,29:A:D,25:H:M,31:H:L
9,15:H:V,16:H:S,26:A:D,30:A:L,12:A:L,2:H:L,18:H:S,BYE
10,31:A:D,BYE,20:H:S,5:A:L,11:H:D,23:A:D,1:H:V,22:A:L
11,25:A:L,8:H:V,1:H:S,20:H:M,10:A:D,27:A:S,5:A:L,BYE
12,30:H:L,18:A:S,13:H:V,14:H:L,9:H:L,BYE,16:A:D,2:H:D
13,BYE,21:A:S,12:A:V,2:H:S,15:H:S,19:A:L,30:H:S,14:H:D
14,BYE,24:A:V,3:H:M,12:A:L,26:A:L,30:H:D,15:H:D,13:A:D
15,9:A:V,6:H:M,30:A:M,16:H:L,13:A:S,BYE,14:A:D,18:H:V
16,6:H:D,9:A:S,19:H:L,15:A:L,21:A:M,18:H:S,12:H:D,BYE
17,27:H:S,20:A:V,28:H:M,8:H:S,29:A:S,BYE,0:A:V,1:H:M
18,BYE,12:H:S,24:A:M,6:H:V,19:H:V,16:A:S,9:A:S,15:A:V
19,7:H:V,3:A:L,16:A:L,24:H:L,18:A:V,13:H:L,21:H:M,BYE
20,5:A:L,17:H:V,10:A:S,11:A:M,31:A:M,4:H:L,28:A:M,BYE
21,BYE,13:H:S,7:H:M,26:A:V,16:H:M,24:H:V,19:A:M,3:A:D
22,29:H:S,5:H:S,25:A:M,BYE,4:A:M,1:A:D,23:H:V,10:H:L
23,8:A:S,4:H:V,31:H:S,27:A:V,25:H:S,10:H:D,22:A:V,BYE
24,3:A:D,14:H:V,18:H:M,19:A:L,7:H:M,21:A:V,BYE,30:A:M
25,11:H:L,BYE,22:H:M,28:A:D,23:A:S,31:H:V,8:A:M,4:H:S
26,2:A:V,30:H:V,9:H:D,21:H:V,14:H:L,BYE,7:A:M,6:A:V
27,17:A:S,0:A:V,5:H:S,23:H:V,28:H:V,11:H:S,BYE,29:A:M
28,0:A:L,31:A:S,17:A:M,25:H:D,27:A:V,BYE,20:H:M,5:H:M
29,22:A:S,1:A:L,BYE,31:H:M,17:H:S,8:H:D,4:A:V,27:H:M
30,12:A:L,26:A:V,15:H:M,9:H:L,BYE,14:A:D,13:A:S,24:H:M
31,10:H:D,28:H:S,23:A:S,29:A:M,20:H:M,25:A:V,BYE,8:A:L
