teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,1:H:M,5:A:S,28:H:D,27:H:V,17:H:L,8:A:D,BYE,4:A:V
1,0:A:M,11:A:D,17:A:M,29:H:D,4:H:L,22:H:D,BYE,10:A:D
2,12:A:V,3:H:V,BYE,13:A:S,7:H:D,6:H:V,26:H:S,9:A:V
3,7:A:S,2:A:V,6:A:S,BYE,21:H:M,14:A:L,19:H:S,24:H:V
4,20:A:L,29:H:D,22:H:V,23:A:L,1:A:L,BYE,25:A:M,0:H:V
5,BYE,0:H:S,11:H:S,22:A:V,27:A:D,20:H:L,10:H:M,28:A:D
6,18:A:V,26:H:M,3:H:S,15:A:D,16:A:M,2:A:V,7:H:S,BYE
7,3:H:S,21:A:S,24:A:S,19:A:D,2:A:D,26:H:S,6:A:S,BYE
8,29:A:M,BYE,25:H:S,31:H:D,11:A:L,0:H:D,23:H:S,17:A:S
9,16:H:L,15:H:D,12:A:S,30:A:M,26:A:V,18:H:M,BYE,2:H:V
10,11:H:L,22:A:L,20:H:S,BYE,23:A:V,31:A:M,5:A:M,1:H:D
11,10:A:L,1:H:D,5:A:S,20:H:S,8:H:L,25:A:V,27:A:S,BYE
12,2:H:V,13:H:M,9:H:S,14:H:D,18:A:V,30:H:M,16:A:D,BYE
13,BYE,12:A:M,14:H:D,2:H:S,19:A:V,15:H:M,30:H:L,21:A:M
14,15:H:D,30:H:V,13:A:D,12:A:D,24:A:L,3:H:L,BYE,26:A:M
15,14:A:D,9:A:D,16:H:D,6:H:D,30:A:D,13:A:M,18:H:V,BYE
16,9:A:L,19:H:L,15:A:D,18:H:M,6:H:M,21:A:V,12:H:D,BYE
17,27:H:V,28:H:M,1:H:M,BYE,0:A:L,29:A:V,20:A:L,8:H:S
18,6:H:V,24:A:S,BYE,16:A:M,12:H:V,9:A:M,15:A:V,19:H:D
19,BYE,16:A:L,21:H:V,7:H:D,13:H:V,24:H:V,3:A:S,18:A:D
20,4:H:L,31:A:L,10:A:S,11:A:S,28:A:L,5:A:L,17:H:L,BYE
21,26:A:D,7:H:S,19:A:V,24:H:V,3:A:M,16:H:V,BYE,13:H:M
22,23:H:V,10:H:L,4:A:V,5:H:V,29:H:M,1:A:D,BYE,25:A:D
23,22:A:V,25:H:S,27:A:D,4:H:L,10:H:V,BYE,8:A:S,31:H:D
24,30:A:L,18:H:S,7:H:S,21:A:V,14:H:L,19:A:V,BYE,3:A:V
25,BYE,23:A:S,8:A:S,28:A:M,31:H:L,11:H:V,4:H:M,22:H:D
26,21:H:D,6:A:M,30:H:V,BYE,9:H:V,7:A:S,2:A:S,14:H:M
27,17:A:V,BYE,23:H:D,0:A:V,5:H:D,28:H:S,11:H:S,29:A:V
28,31:A:L,17:A:M,0:A:D,25:H:M,20:H:L,27:A:S,BYE,5:H:D
29,8:H:M,4:A:D,31:H:D,1:A:D,22:A:M,17:H:V,BYE,27:H:V
30,24:H:L,14:A:V,26:A:V,9:H:M,15:H:D,12:A:M,13:A:L,BYE
31,28:H:L,20:H:L,29:A:D,8:A:D,25:A:L,10:H:M,BYE,23:A:D
