teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,BYE,4:A:D,17:H:S,8:A:M,1:H:M,27:H:D,5:A:M,28:H:V
1,4:H:V,10:A:L,11:A:V,17:A:L,0:A:M,29:H:L,22:H:M,BYE
2,12:A:L,13:A:S,BYE,7:H:L,6:H:L,26:H:V,3:H:S,9:A:S
3,BYE,7:A:L,6:A:S,21:H:D,14:A:S,24:H:M,2:A:S,19:H:S
4,1:A:V,0:H:D,BYE,25:A:V,23:A:M,22:H:M,20:A:D,29:H:M
5,20:H:S,22:A:S,10:H:S,11:H:L,27:A:M,28:A:S,0:H:M,BYE
6,BYE,18:A:M,3:H:S,26:H:L,2:A:L,15:A:V,16:A:D,7:H:M
7,26:H:M,3:H:L,21:A:S,2:A:L,24:A:S,BYE,19:A:L,6:A:M
8,17:A:M,29:A:V,31:H:L,0:H:M,11:A:S,25:H:S,BYE,23:H:S
9,30:A:L,12:A:D,15:H:L,BYE,16:H:M,18:H:L,26:A:L,2:H:S
10,22:A:D,1:H:L,5:A:S,20:H:M,BYE,31:A:M,23:A:M,11:H:V
11,27:A:M,20:H:V,1:H:V,5:A:L,8:H:S,BYE,25:A:D,10:A:V
12,2:H:L,9:H:D,16:A:S,18:A:M,13:H:V,14:H:V,30:H:L,BYE
13,15:H:L,2:H:S,14:H:S,19:A:S,12:A:V,30:H:D,BYE,21:A:M
14,24:A:S,30:H:M,13:A:S,BYE,3:H:S,12:A:V,15:H:L,26:A:V
15,13:A:L,BYE,9:A:L,16:H:M,18:H:S,6:H:V,14:A:L,30:A:L
16,18:H:M,21:A:S,12:H:S,15:A:M,9:A:M,19:H:M,6:H:D,BYE
17,8:H:M,28:H:M,0:A:S,1:H:L,29:A:L,20:A:L,BYE,27:H:L
18,16:A:M,6:H:M,19:H:L,12:H:M,15:A:S,9:A:L,BYE,24:A:L
19,21:H:M,24:H:S,18:A:L,13:H:S,BYE,16:A:M,7:H:L,3:A:S
20,5:A:S,11:A:V,28:A:L,10:A:M,31:A:D,17:H:L,4:H:D,BYE
21,19:A:M,16:H:S,7:H:S,3:A:D,26:A:M,BYE,24:H:M,13:H:M
22,10:H:D,5:H:S,29:H:M,23:H:S,25:A:M,4:A:M,1:A:M,BYE
23,31:H:D,27:A:M,25:H:D,22:A:S,4:H:M,BYE,10:H:M,8:A:S
24,14:H:S,19:A:S,BYE,30:A:D,7:H:S,3:A:M,21:A:M,18:H:L
25,28:A:D,31:H:V,23:A:D,4:H:V,22:H:M,8:A:S,11:H:D,BYE
26,7:A:M,BYE,30:H:L,6:A:L,21:H:M,2:A:V,9:H:L,14:H:V
27,11:H:M,23:H:M,BYE,29:A:S,5:H:M,0:A:D,28:H:M,17:A:L
28,25:H:D,17:A:M,20:H:L,31:A:M,BYE,5:H:S,27:A:M,0:A:V
29,BYE,8:H:V,22:A:M,27:H:S,17:H:L,1:A:L,31:H:V,4:A:M
30,9:H:L,14:A:M,26:A:L,24:H:D,BYE,13:A:D,12:A:L,15:H:L
31,23:A:D,25:A:V,8:A:L,28:H:M,20:H:D,10:H:M,29:A:V,BYE
