teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,4:A:S,8:A:D,27:H:S,28:H:M,5:A:M,17:H:M,BYE,1:H:M
1,10:A:M,4:H:V,29:H:D,17:A:D,22:H:V,BYE,11:A:V,0:A:M
2,3:H:V,26:H:V,12:A:V,BYE,6:H:L,13:A:L,7:H:M,9:A:D
3,2:A:V,6:A:M,7:A:M,19:H:S,24:H:D,14:A:M,21:H:M,BYE
4,0:H:S,1:A:V,25:A:V,22:H:L,29:H:S,23:A:V,20:A:L,BYE
5,22:A:S,28:A:S,11:H:S,10:H:D,0:H:M,20:H:M,27:A:S,BYE
6,7:H:M,3:H:M,26:H:M,15:A:S,2:A:L,18:A:V,16:A:S,BYE
7,6:A:M,24:A:V,3:H:M,21:A:D,BYE,26:H:S,2:A:M,19:A:V
8,29:A:S,0:H:D,17:A:L,25:H:L,11:A:D,31:H:L,23:H:M,BYE
9,26:A:M,18:H:S,15:H:S,16:H:V,BYE,12:A:V,30:A:V,2:H:D
10,1:H:M,11:H:S,23:A:M,5:A:D,20:H:D,BYE,22:A:S,31:A:M
11,27:A:D,10:A:S,5:A:S,20:H:M,8:H:D,25:A:M,1:H:V,BYE
12,14:H:M,16:A:S,2:H:V,13:H:S,30:H:M,9:H:V,18:A:S,BYE
13,21:A:V,15:H:D,14:H:V,12:A:S,BYE,2:H:L,19:A:S,30:H:V
14,12:A:M,30:H:S,13:A:V,BYE,26:A:L,3:H:M,15:H:M,24:A:V
15,18:H:D,13:A:D,9:A:S,6:H:S,16:H:M,30:A:D,14:A:M,BYE
16,19:H:L,12:H:S,18:H:D,9:A:V,15:A:M,21:A:V,6:H:S,BYE
17,28:H:D,20:A:V,8:H:L,1:H:D,27:H:M,0:A:M,29:A:D,BYE
18,15:A:D,9:A:S,16:A:D,24:A:S,19:H:S,6:H:V,12:H:S,BYE
19,16:A:L,21:H:M,BYE,3:A:S,18:A:S,24:H:S,13:H:S,7:H:V
20,31:A:D,17:H:V,28:A:S,11:A:M,10:A:D,5:A:M,4:H:L,BYE
21,13:H:V,19:A:M,24:H:S,7:H:D,BYE,16:H:V,3:A:M,26:A:S
22,5:H:S,25:A:V,BYE,4:A:L,1:A:V,29:H:V,10:H:S,23:H:V
23,25:H:S,31:H:D,10:H:M,27:A:L,BYE,4:H:V,8:A:M,22:A:V
24,30:A:S,7:H:V,21:A:S,18:H:S,3:A:D,19:A:S,BYE,14:H:V
25,23:A:S,22:H:V,4:H:V,8:A:L,31:H:D,11:H:M,BYE,28:A:D
26,9:H:M,2:A:V,6:A:M,30:H:L,14:H:L,7:A:S,BYE,21:H:S
27,11:H:D,29:A:D,0:A:S,23:H:L,17:A:M,28:H:D,5:H:S,BYE
28,17:A:D,5:H:S,20:H:S,0:A:M,BYE,27:A:D,31:A:M,25:H:D
29,8:H:S,27:H:D,1:A:D,31:H:D,4:A:S,22:A:V,17:H:D,BYE
30,24:H:S,14:A:S,BYE,26:A:L,12:A:M,15:H:D,9:H:V,13:A:V
31,20:H:D,23:A:D,BYE,29:A:D,25:A:D,8:A:L,28:H:M,10:H:M
